char,pinyin,division,code
偫,zhi4,亻彳土寸,TSJI
偬,cong1,亻⼓{两撇}丶心,TSWR
偬,zong3,亻⼓{两撇}丶心,TSWR
偭,mian3,亻面,TGm
偮,ji2,亻口耳,TOHe
偯,yi3,亻衣口,TWOv
偰,xie4,亻丰刀大,TIDF
偱,xun2,亻𠂆十目,TREN
偲,cai1,亻田心,TKRx
偲,sai1,亻田心,TKRx
偲,si1,亻田心,TKRx
偳,duan1,亻山而,TMGe
側,ce4,亻貝刂,TNLd
側,zhai1,亻貝刂,TNLd
偵,zhen1,亻⺊貝,TLNb
偶,ou3,亻禺,TKo
偷,tou1,亻人一⺝刂,TUSL
偸,tou1,亻入一⺝巜,TVSC
偹,bei4,亻丨夂田,TKVK
偺,zan2,亻夂卜日,TVLK
偻,lou2,亻米女,TXCv
偼,jie2,亻⺊彐龰,TLBL
偽,wei3,亻為,TXw
偾,fen4,亻十廾贝,TEHM
偿,chang2,亻⺌冖二厶,TNEA
傀,gui1,亻鬼,TUg
傀,kui3,亻鬼,TUg
傁,sou3,亻臼丨又,TUKD
傂,si1,亻𠂆虍几,TRLQ
傂,zhi4,亻𠂆虍几,TRLQ
傃,su4,亻龶糸,TEAv
傄,xia1,亻大丷目,TFXN
傅,fu4,亻甫寸,TEIc
傆,yuan2,亻厂白小,TGUC
傆,yuan4,亻厂白小,TGUC
傇,rong3,亻艹耳,THHe
傈,li4,亻覀木,TEIv
傉,nu4,亻辰寸,TGIc
傊,yun4,亻口貝,TONb
傋,gou4,亻一龷冂土,TGMJ
傋,jiang3,亻一龷冂土,TGMJ
